Time,Mach,Alpha_D,Altitude,Latitude,Longitude
286.05,1.531016129,1.177276885,50282.6415,33.20467892,-98.34530692
287.05,1.531240076,1.303241543,50298.13228,33.20555982,-98.35002954
288.05,1.5314409,1.362620323,50311.4375,33.20644079,-98.35475295
289.05,1.531624899,1.371607964,50323.17525,33.2073218,-98.35947707
290.05,1.531797047,1.374463273,50333.52765,33.20820288,-98.36420182
291.05,1.531954044,1.386991869,50342.52637,33.20908403,-98.36892716
292.05,1.53209362,1.409181641,50350.27911,33.20996529,-98.37365302
293.05,1.532214137,1.432968057,50356.9668,33.21084665,-98.37837933
294.05,1.5323151,1.451280514,50362.79612,33.21172814,-98.38310603
295.05,1.5323991,1.462493168,50367.93077,33.21260974,-98.38783305
296.05,1.532466714,1.471459074,50372.47489,33.21349146,-98.39256033
297.05,1.532518901,1.479359525,50376.51139,33.21437331,-98.39728783
298.05,1.532556981,1.484836623,50380.10319,33.2152553,-98.40201548
299.05,1.532582721,1.489004384,50383.30128,33.21613747,-98.40674325
300.05,1.532596457,1.495164485,50386.1503,33.21701981,-98.41147108
301.05,1.53259913,1.500271858,50388.69798,33.21790233,-98.41619893
302.05,1.532591955,1.504093218,50390.98839,33.21878504,-98.42092678
303.05,1.532576126,1.506986673,50393.05579,33.21966793,-98.4256546
304.05,1.532552919,1.509222422,50394.92489,33.22055102,-98.43038234
305.05,1.532523453,1.511604958,50396.61512,33.22143432,-98.43511
306.05,1.532488677,1.513818701,50398.14552,33.22231785,-98.43983754
307.05,1.532452123,1.51564736,50399.4456,33.22314271,-98.44424978
308.05,1.532405852,1.516968564,50400.79848,33.22408565,-98.44929219
309.05,1.532359299,1.518616428,50401.94943,33.22496991,-98.45401929
310.05,1.532310365,1.52010066,50402.99708,33.22585442,-98.45874621
311.05,1.532259844,1.521329807,50403.9532,33.22673917,-98.46347296
312.05,1.532208383,1.522248295,50404.82782,33.22762419,-98.46819952
313.05,1.532156546,1.523118947,50405.62852,33.22850948,-98.47292589
